JPEG,,JPEG 2000,
X,Y,X,Y
3.457621396552682,51.16707616707616,3.649398878406501,51.01965601965601
4.623290882832862,47.92383292383291,4.80944164150273,48.66093366093365
6.171108652024685,44.606879606879595,9.820038636832521,40.99508599508599
7.902732711893009,42.395577395577384,19.9692405799276,35.54054054054053
8.867246844346084,40.77395577395576,29.909784871616907,32.88697788697788
9.828947615207142,39.59459459459458,40.035073241180115,31.19164619164618
14.622446874355262,36.05651105651105,49.966239660896136,30.012285012285005
18.64180280210813,34.213759213759204,60.086370200874015,29.127764127764117
22.466098992816555,33.03439803439802,70.01425436539942,28.464373464373452
25.716000525160837,32.149877149877135,79.94166963632613,27.87469287469286
30.110002438246724,31.412776412776402,90.05898681471199,27.43243243243242
36.41427687229212,30.38083538083537,100.1758350994992,27.063882063882055
49.01813680439635,29.054054054054042,,
83.95633662809233,26.769041769041756,,
